tailnum,manufacturer,issue_date,model,aircraft_type,engine_type,year
N12921,EMBRAER,12/14/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12922,EMBRAER,11/8/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12924,EMBRAER,10/30/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12934,EMBRAER,2/23/1998,EMB-145EP,Fixed Wing Multi-Engine,Turbo-Jet,1997
N12946,EMBRAER,7/22/1998,EMB-145EP,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12957,EMBRAER,1/4/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12967,EMBRAER,6/18/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12996,EMBRAER,10/30/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N129DL,BOEING,7/11/1988,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N1309T,DOUGLAS,6/17/2004,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N130DL,BOEING,3/6/2007,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N13110,BOEING,12/8/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N13113,BOEING,4/12/1995,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1995
N13118,EMBRAER,6/26/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13123,EMBRAER,2/5/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13124,EMBRAER,2/5/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13132,EMBRAER,4/9/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13133,EMBRAER,4/16/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13138,BOEING,6/2/2000,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13161,EMBRAER,4/29/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N131DN,BOEING,11/19/2007,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1990
N13202,EMBRAER,4/26/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N13248,BOEING,12/7/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N132DN,BOEING,2/15/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N1332U,MCDONNELL DOUGLAS,12/22/1986,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1969
N1334U,DOUGLAS,12/22/1986,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1970
N133DN,BOEING,2/14/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N134DL,BOEING,2/26/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13538,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13550,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13553,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13566,EMBRAER,8/23/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N135DL,BOEING,6/6/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13624,BOEING,2/7/1995,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1995
N136DL,BOEING,6/18/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13716,BOEING,12/7/1998,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1998
N13718,BOEING,1/26/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13720,BOEING,3/1/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13750,BOEING,6/7/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N137DL,BOEING,11/1/1991,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N138DL,BOEING,1/21/1992,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13903,EMBRAER,7/2/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13908,EMBRAER,5/31/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13913,EMBRAER,5/25/2001,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13914,EMBRAER,5/9/2001,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13929,EMBRAER,11/29/1997,EMB-145EP,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13935,EMBRAER,2/23/1998,EMB-145EP,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13936,EMBRAER,2/23/1998,EMB-145EP,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13949,EMBRAER,7/22/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13955,EMBRAER,1/4/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13956,EMBRAER,1/4/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13958,EMBRAER,1/4/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13964,EMBRAER,6/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13965,EMBRAER,6/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13968,EMBRAER,6/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13969,EMBRAER,9/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13970,EMBRAER,9/20/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13975,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13978,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13979,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13988,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13989,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13990,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13992,EMBRAER,10/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13994,EMBRAER,10/30/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13995,EMBRAER,10/30/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13997,EMBRAER,10/30/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N139DL,BOEING,5/11/1992,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1992
N1402A,BOEING,9/29/1993,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1993
N140LL,BOEING,3/24/2008,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1993
N14102,BOEING,6/3/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14105,EMBRAER,6/24/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14106,BOEING,9/23/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14107,BOEING,10/17/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14115,BOEING,8/15/1995,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1995
N14116,EMBRAER,6/26/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14117,EMBRAER,6/26/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14118,BOEING,3/28/1997,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14120,BOEING,8/5/1997,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14121,BOEING,8/1/1997,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14125,EMBRAER,2/12/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14143,EMBRAER,7/17/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14148,EMBRAER,9/18/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14153,EMBRAER,12/10/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14158,EMBRAER,3/11/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14162,EMBRAER,5/10/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14168,EMBRAER,8/25/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14171,EMBRAER,10/20/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14173,EMBRAER,11/24/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14174,EMBRAER,12/8/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14177,EMBRAER,2/16/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14179,EMBRAER,3/9/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14180,EMBRAER,3/23/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14186,EMBRAER,6/29/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14188,EMBRAER,7/20/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14198,EMBRAER,2/8/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14203,EMBRAER,5/22/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14204,EMBRAER,6/21/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14214,BOEING,7/27/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14219,BOEING,8/28/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14230,BOEING,6/17/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14231,BOEING,6/22/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14237,BOEING,9/22/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14242,BOEING,10/26/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14250,BOEING,6/2/2000,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14308,BOEING,9/24/1985,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1985
N14320,BOEING,2/17/2004,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14324,BOEING,7/1/1997,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14325,BOEING,5/21/2008,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14334,BOEING,9/2/1997,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14335,BOEING,9/2/1997,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14336,BOEING,6/20/2007,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14337,BOEING,4/17/2007,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14341,BOEING,4/17/2007,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14342,BOEING,4/17/2007,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14346,BOEING,9/15/1987,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14347,BOEING,10/16/1987,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14358,BOEING,3/22/2001,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1988
N143DA,BOEING,10/16/1998,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1998
N144DA,BOEING,5/14/1999,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14505,EMBRAER,10/31/2000,EMB-135ER,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14508,EMBRAER,11/1/2000,EMB-135ER,Fixed Wing Multi-Engine,Turbo-Jet,2000
N14514,EMBRAER,10/31/2000,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14516,EMBRAER,10/31/2000,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14522,EMBRAER,2/7/2001,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14542,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14543,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14562,EMBRAER,6/27/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14568,EMBRAER,6/24/2003,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14570,EMBRAER,6/24/2003,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14573,EMBRAER,10/1/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14601,BOEING,2/11/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14604,BOEING,2/16/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14605,BOEING,3/2/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14609,BOEING,5/5/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14613,BOEING,7/26/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14628,BOEING,4/19/1995,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1995
N14629,BOEING,5/30/1995,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1965
N14639,BOEING,8/1/1997,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N14645,BOEING,10/1/1997,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N14652,BOEING,1/23/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14653,BOEING,1/27/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14654,BOEING,2/11/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14655,BOEING,2/12/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14664,BOEING,5/15/2008,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14667,BOEING,10/1/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14668,BOEING,10/20/1998,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14704,BOEING,4/27/1998,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1998
N14731,BOEING,9/30/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14735,BOEING,9/23/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14902,EMBRAER,7/3/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14904,EMBRAER,7/3/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14905,EMBRAER,7/3/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
